1 -102.566 -62.6779
2 -103.346 -63.0178
3 -104.332 -63.1447
4 -105.425 -63.0832
5 -106.523 -62.8675
6 -107.55 -62.5246
7 -108.466 -62.0619
8 -109.262 -61.4662
9 -109.956 -60.7092
10 -110.576 -59.7595
11 -111.152 -58.5976
12 -111.698 -57.229
13 -112.21 -55.6923
14 -112.66 -54.0579
15 -113.005 -52.419
16 -113.194 -50.8778
17 -113.18 -49.5338
18 -112.934 -48.4646
19 -112.453 -47.7156
20 -111.772 -47.2979
21 -110.952 -47.1867
22 -110.084 -47.3304
23 -109.255 -47.6675
24 -108.53 -48.1446
25 -107.938 -48.7298
26 -107.468 -49.4158
27 -107.08 -50.209
28 -106.723 -51.1155
29 -106.361 -52.1255
30 -105.985 -53.199
31 -105.617 -54.2668
32 -105.303 -55.2373
33 -105.092 -56.0178
34 -105.019 -56.5349
35 -105.088 -56.7477
36 -105.265 -56.6582
37 -105.488 -56.3082
38 -105.679 -55.7665
39 -105.764 -55.1114
40 -105.69 -54.4133
41 -105.441 -53.7201
42 -105.042 -53.0474
43 -104.555 -52.3768
44 -104.073 -51.6624
45 -103.698 -50.8493
46 -103.512 -49.8957
47 -103.557 -48.7933
48 -103.815 -47.5811
49 -104.216 -46.3422
50 -104.658 -45.1857
51 -105.037 -44.2196
52 -105.276 -43.5237
53 -105.344 -43.1297
54 -105.257 -43.0142
55 -105.07 -43.1061
56 -104.854 -43.3087
57 -104.664 -43.5307
58 -104.523 -43.7137
59 -104.409 -43.8466
60 -104.268 -43.9614
61 -104.036 -44.1135
62 -103.657 -44.3544
63 -103.106 -44.7077
64 -102.394 -45.1559
65 -101.572 -45.6399
66 -100.721 -46.0693
67 -99.9436 -46.3407
68 -99.335 -46.3624
69 -98.9637 -46.0764
70 -98.8535 -45.4718
71 -98.9748 -44.5886
72 -99.2543 -43.505
73 -99.5974 -42.3183
74 -99.9148 -41.1216
75 -100.144 -39.9862
76 -100.266 -38.9518
77 -100.302 -38.0226
78 -100.312 -37.177
79 -100.368 -36.3823
80 -100.523 -35.6125
81 -100.789 -34.8705
82 -101.119 -34.198
83 -101.423 -33.6687
84 -101.59 -33.3665
